protocol,networks,callHandlers,ipfs,blockHandlers,dynamicContracts,contractCalls
"  - cbridge-celo",1,false,false,false,false,false
"  - cbridge-ethereum",1,false,false,false,false,false
"  - cbridge-fantom",1,false,false,false,false,false
"  - cbridge-gnosis",1,false,false,false,false,false
"  - cbridge-harmony",1,false,false,false,false,false
"  - cbridge-moonbeam",1,false,false,false,false,false
"  - cbridge-moonriver",1,false,false,false,false,false
"  - cbridge-optimism",1,false,false,false,false,false
"  - cbridge-polygon",1,false,false,false,false,false
"  - chainlink-staking-ethereum",1,false,false,false,false,false
"  - code4rena-governance-polygon",1,false,false,false,false,false
"  - coinbase-wrapped-staked-eth-ethereum",1,false,false,false,false,false
"  - compound-governance-ethereum",1,false,false,false,false,false
"  - compound-governance-v1-ethereum",1,false,false,false,false,false
"  - compound-v2-ethereum",1,false,false,false,false,false
"  - compound-v3-arbitrum",1,false,false,false,false,false
"  - compound-v3-base",1,false,false,false,false,false
"  - compound-v3-ethereum",1,false,false,false,false,false
"  - compound-v3-polygon",1,false,false,false,false,false
"  - concentrator-ethereum",1,false,false,false,false,false
"  - convex-finance-ethereum",1,false,false,false,false,false
"  - cosmoshub",1,false,false,false,false,false
"  - cream-finance-arbitrum",1,false,false,false,false,false
"  - cream-finance-bsc",1,false,false,false,false,false
"  - cream-finance-ethereum",1,false,false,false,false,false
"  - cream-finance-polygon",1,false,false,false,false,false
"  - creth2-ethereum",1,false,false,false,false,false
"  - cronos",2,false,false,false,false,false
"  - cryptex-governance-ethereum",1,false,false,false,false,false
"  - cryptopunks-ethereum",1,false,false,false,false,false
"  - curve-finance-arbitrum",1,false,false,false,false,false
"  - curve-finance-aurora",1,false,false,false,false,false
"  - curve-finance-avalanche",1,false,false,false,false,false
"  - curve-finance-ethereum",1,false,false,false,false,false
"  - curve-finance-fantom",1,false,false,false,false,false
"  - curve-finance-gnosis",1,false,false,false,false,false
"  - curve-finance-harmony",1,false,false,false,false,false
"  - curve-finance-moonbeam",1,false,false,false,false,false
"  - curve-finance-optimism",1,false,false,false,false,false
"  - curve-finance-polygon",1,false,false,false,false,false
"  - cygnus-finance-base",1,false,false,false,false,false
"  - deq-ethereum",1,false,false,false,false,false
"  - dforce-arbitrum",1,false,false,false,false,false
"  - dforce-avalanche",1,false,false,false,false,false
"  - dforce-bsc",1,false,false,false,false,false
"  - dforce-ethereum",1,false,false,false,false,false
"  - dforce-optimism",1,false,false,false,false,false
"  - dforce-polygon",1,false,false,false,false,false
"  - dinero-pxeth-ethereum",1,false,false,false,false,false
"  - dopex-arbitrum",1,false,false,false,false,false
"  - dopex-polygon",1,false,false,false,false,false
"  - dydx-governance-ethereum",1,false,false,false,false,false
"  - eigenlayer-ethereum",1,false,false,false,false,false
"  - eigenpie-ethereum",1,false,false,false,false,false
"  - ellipsis-finance-bsc",1,false,false,false,false,false
"  - ens-governance-ethereum",1,false,false,false,false,false
"  - erc20-holders-2017",1,false,false,false,false,false
"  - erc20-holders-2018",1,false,false,false,false,false
"  - erc20-holders-2019",1,false,false,false,false,false
"  - erc20-holders-2020",1,false,false,false,false,false
"  - erc20-holders-2021",1,false,false,false,false,false
"  - erc20-holders-2022",1,false,false,false,false,false
"  - erc721-holders-ethereum",1,false,false,false,false,false
"  - erc721-metadata-ethereum",1,false,false,false,false,false
"  - etherfi-ethereum",1,false,false,false,false,false
"  - euler-finance-ethereum",1,false,false,false,false,false
"  - euler-governance-ethereum",1,false,false,false,false,false
"  - evm-arbitrum",1,false,false,false,false,false
"  - evm-aurora",1,false,false,false,false,false
"  - evm-avalanche",1,false,false,false,false,false
"  - evm-boba",1,false,false,false,false,false
"  - evm-bsc",1,false,false,false,false,false
"  - evm-celo",1,false,false,false,false,false
"  - evm-clover",1,false,false,false,false,false
"  - evm-ethereum",1,false,false,false,false,false
"  - evm-fantom",1,false,false,false,false,false
"  - evm-fuse",1,false,false,false,false,false
"  - evm-gnosis",1,false,false,false,false,false
"  - evm-harmony",1,false,false,false,false,false
"  - evm-moonbeam",1,false,false,false,false,false
"  - evm-moonriver",1,false,false,false,false,false
"  - evm-optimism",1,false,false,false,false,false
"  - evm-polygon",1,false,false,false,false,false
"  - evm-polygon-zkevm",1,false,false,false,false,false
"  - evm-zksync",1,false,false,false,false,false
"  - fei-governance-ethereum",1,false,false,false,false,false
"  - flat-money-base",1,false,false,false,false,false
"  - frax-ether-staking-arbitrum",1,false,false,false,false,false
"  - frax-ether-staking-bsc",1,false,false,false,false,false
"  - frax-ether-staking-ethereum",1,false,false,false,false,false
"  - frax-ether-staking-fantom",1,false,false,false,false,false
"  - frax-ether-staking-moonbeam",1,false,false,false,false,false
"  - frax-ether-staking-optimism",1,false,false,false,false,false
"  - frax-ether-staking-polygon",1,false,false,false,false,false
"  - friend-tech-base",1,false,false,false,false,false
"  - fx-protocol-ethereum",1,false,false,false,false,false
"  - gains-trade-arbitrum",1,false,false,false,false,false
"  - gains-trade-polygon",1,false,false,false,false,false
"  - gamma-strategies-arbitrum",1,false,false,false,false,false
"  - gamma-strategies-ethereum",1,false,false,false,false,false
"  - gamma-strategies-optimism",1,false,false,false,false,false
"  - gamma-strategies-polygon",1,false,false,false,false,false
"  - gaurda-staking-ethereum",1,false,false,false,false,false
"  - geist-finance-fantom",1,false,false,false,false,false
"  - geode-avalanche",1,false,false,false,false,false
"  - gitcoin-governance-ethereum",1,false,false,false,false,false
"  - gmx-arbitrum",1,false,false,false,false,false
"  - gmx-avalanche",1,false,false,false,false,false
"  - gogopool-avalanche",1,false,false,false,false,false
"  - goldfinch-ethereum",1,false,false,false,false,false
"  - gudchain-ethereum",1,false,false,false,false,false
"  - hifi-governance-ethereum",1,false,false,false,false,false
"  - honeyswap-gnosis",1,false,false,false,false,false
"  - honeyswap-polygon",1,false,false,false,false,false
"  - hop-governance-ethereum",1,false,false,false,false,false
"  - hop-protocol-arbitrum",1,false,false,false,false,false
"  - hop-protocol-ethereum",1,false,false,false,false,false
"  - hop-protocol-optimism",1,false,false,false,false,false
"  - hop-protocol-polygon",1,false,false,false,false,false
"  - hop-protocol-polygon-zkevm",1,false,false,false,false,false
"  - hop-protocol-xdai",1,false,false,false,false,false
"  - hord-fi-ethereum",1,false,false,false,false,false
"  - hyperlock-finance-blast",1,false,false,false,false,false
"  - idle-governance-ethereum",1,false,false,false,false,false
"  - idle-governance-v1-ethereum",1,false,false,false,false,false
"  - iguanadex-v3-etherlink-mainnet",1,false,false,false,false,false
"  - inception-ethereum",1,false,false,false,false,false
"  - indexed-governance-ethereum",1,false,false,false,false,false
"  - inverse-finance-ethereum",1,false,false,false,false,false
"  - iron-bank-avalanche",1,false,false,false,false,false
"  - iron-bank-ethereum",1,false,false,false,false,false
"  - iron-bank-fantom",1,false,false,false,false,false
"  - iron-bank-optimism",1,false,false,false,false,false
"  - juno",1,false,false,false,false,false
"  - karak-arbitrum",1,false,false,false,false,false
"  - karak-bsc",1,false,false,false,false,false
"  - karak-ethereum",1,false,false,false,false,false
"  - kelp-dao-ethereum",1,false,false,false,false,false
"  - kernel-protocol-ethereum",1,false,false,false,false,false
"  - kinza-finance-bsc",1,false,false,false,false,false
"  - klimadao-polygon",1,false,false,false,false,false
"  - kwenta-optimism",1,false,false,false,false,false
"  - level-finance-arbitrum",1,false,false,false,false,false
"  - level-finance-bsc",1,false,false,false,false,false
"  - lido-ethereum",1,false,false,false,false,false
"  - lilnouns-governance-ethereum",1,false,false,false,false,false
"  - liquid-collective-ethereum",1,false,false,false,false,false
"  - liquity-ethereum",1,false,false,false,false,false
"  - livepeer-arbitrum",1,false,false,false,false,false
"  - llama-airforce-ethereum",1,false,false,false,false,false
"  - looksrare-ethereum",1,false,false,false,false,false
"  - lybra-finance-ethereum",1,false,false,false,false,false
"  - m0-power-ethereum",1,false,false,false,false,false
"  - maker-governance-ethereum",1,false,false,false,false,false
"  - makerdao-ethereum",1,false,false,false,false,false
"  - mantle-staked-eth-ethereum",1,false,false,false,false,false
"  - maple-finance-v1-ethereum",1,false,false,false,false,false
"  - maple-finance-v2-ethereum",1,false,false,false,false,false
"  - matrixdock-ethereum",1,false,false,false,false,false
"  - mellow-lrt-ethereum",1,false,false,false,false,false
"  - mev-protocol-ethereum",1,false,false,false,false,false
"  - mm-finance-cronos",1,false,false,false,false,false
"  - mm-finance-polygon",1,false,false,false,false,false
"  - moonwell-base",1,false,false,false,false,false
"  - moonwell-moonbeam",1,false,false,false,false,false
"  - moonwell-moonriver",1,false,false,false,false,false
"  - morpho-aave-v2-ethereum",1,false,false,false,false,false
"  - morpho-aave-v3-ethereum",1,false,false,false,false,false
"  - morpho-blue-ethereum",1,false,false,false,false,false
"  - morpho-compound-ethereum",1,false,false,false,false,false
"  - mountain-protocol-arbitrum",1,false,false,false,false,false
"  - mountain-protocol-base",1,false,false,false,false,false
"  - mountain-protocol-ethereum",1,false,false,false,false,false
"  - mountain-protocol-optimism",1,false,false,false,false,false
"  - mountain-protocol-polygon",1,false,false,false,false,false
"  - multichain-arbitrum",1,false,false,false,false,false
"  - multichain-avalanche",1,false,false,false,false,false
"  - multichain-bsc",1,false,false,false,false,false
"  - multichain-celo",1,false,false,false,false,false
"  - multichain-ethereum",1,false,false,false,false,false
"  - multichain-fantom",1,false,false,false,false,false
"  - multichain-gnosis",1,false,false,false,false,false
"  - multichain-optimism",1,false,false,false,false,false
"  - multichain-polygon",1,false,false,false,false,false
"  - mummy-finance-arbitrum",1,false,false,false,false,false
"  - mummy-finance-fantom",1,false,false,false,false,false
"  - mummy-finance-optimism",1,false,false,false,false,false
"  - mux-protocol-arbitrum",1,false,false,false,false,false
"  - mux-protocol-avalanche",1,false,false,false,false,false
"  - mux-protocol-bsc",1,false,false,false,false,false
"  - mux-protocol-fantom",1,false,false,false,false,false
"  - mux-protocol-optimism",1,false,false,false,false,false
"  - near-mainnet",1,false,false,false,false,false
"  - nexus-mutual-ethereum",1,false,false,false,false,false
"  - node-dao-ethereum",1,false,false,false,false,false
"  - notional-finance-ethereum",1,false,false,false,false,false
"  - nouns-governance-ethereum",1,false,false,false,false,false
"  - ooki-governance-ethereum",1,false,false,false,false,false
"  - opensea-seaport-ethereum",1,false,false,false,false,false
"  - opensea-v1-ethereum",1,false,false,false,false,false
"  - opensea-v2-ethereum",1,false,false,false,false,false
"  - optimism-bridge-v2-ethereum",1,false,false,false,false,false
"  - optimism-bridge-v2-optimism",1,false,false,false,false,false
"  - optimism-governance-optimism",1,false,false,false,false,false
"  - opyn-gamma-arbitrum",1,false,false,false,false,false
"  - opyn-gamma-avalanche",1,false,false,false,false,false
"  - opyn-gamma-ethereum",1,false,false,false,false,false
"  - opyn-gamma-polygon",1,false,false,false,false,false
"  - ora-protocol-ethereum",1,false,false,false,false,false
"  - orbit-bsc",1,false,false,false,false,false
"  - orbit-celo",1,false,false,false,false,false
"  - orbit-ethereum",1,false,false,false,false,false
"  - orbit-heco",1,false,false,false,false,false
"  - orbit-klaytn",1,false,false,false,false,false
"  - orbit-polygon",1,false,false,false,false,false
"  - origin-ether-ethereum",1,false,false,false,false,false
"  - osmosis",1,false,false,false,false,false
"  - osmosis-dex-osmosis",1,false,false,false,false,false
"  - ousd-governance-ethereum",1,false,false,false,false,false
"  - pac-finance-blast",1,false,false,false,false,false
"  - pancakeswap-v2-swap-bsc",1,false,false,false,false,false
"  - pancakeswap-v3-bsc",1,false,false,false,false,false
"  - pancakeswap-v3-ethereum",1,false,false,false,false,false
"  - pancakeswap-v3-swap-bsc",1,false,false,false,false,false
"  - pancakeswap-v3-swap-ethereum",1,false,false,false,false,false
"  - pangolin-avalanche",1,false,false,false,false,false
"  - paxos-gold-ethereum",1,false,false,false,false,false
"  - platypus-finance-avalanche",1,false,false,false,false,false
"  - pooltogether-governance-ethereum",1,false,false,false,false,false
"  - portal-avalanche",1,false,false,false,false,false
