
> find-dynamic-contracts
> ts-node scripts/find-dynamic-contracts.ts

project,file,lineNumber,line
morpho,subgraphs/morpho/protocols/morpho-aave-v2/config/templates/morpho.aave.v2.template.yaml,98,"templates:"
morpho,subgraphs/morpho/protocols/morpho-aave-v3/config/templates/morpho.aave.v3.template.yaml,94,"templates:"
morpho,subgraphs/morpho/protocols/morpho-compound/config/templates/morpho.compound.template.yaml,88,"templates:"
morpho-blue,subgraphs/morpho-blue/protocols/morpho-blue/config/templates/morpho.blue.template.yaml,134,"templates:"
multichain,subgraphs/multichain/protocols/multichain/config/templates/multichain.template.yaml,172,"templates:"
nexus-mutual,subgraphs/nexus-mutual/protocols/nexus-mutual/config/templates/nexus-mutual.template.yaml,83,"templates:"
optimism-bridge-v2,subgraphs/optimism-bridge-v2/protocols/optimism-bridge-v2/config/templates/optimism.bridge.template.yaml,315,"templates:"
opyn-gamma,subgraphs/opyn-gamma/protocols/opyn-gamma/config/templates/opyn.gamma.template.yaml,216,"templates:"
platypus-finance,subgraphs/platypus-finance/protocols/platypus-finance/config/templates/platypus.template.yaml,278,"templates:"
qidao,subgraphs/qidao/protocols/qidao/config/templates/qidao.template.yaml,128,"templates:"
ribbon-finance,subgraphs/ribbon-finance/protocols/ribbon-finance/config/templates/ribbon.finance.template.yaml,441,"templates:"
ring-few,subgraphs/ring-few/protocols/ring-few/config/templates/ring.few.template.yaml,68,"templates:"
rocket-pool,subgraphs/rocket-pool/protocols/rocket-pool/config/templates/rocket-pool.template.yaml,69,"templates:"
saddle-finance,subgraphs/saddle-finance/protocols/saddle-finance/config/templates/saddle.finance.template.yaml,286,"templates:"
stakedao,subgraphs/stakedao/protocols/stakedao/config/templates/stakedao.template.yaml,144,"templates:"
stakewise-v2,subgraphs/stakewise-v2/protocols/stakewise-v2/config/templates/stakewise-v2.template.yaml,255,"templates:"
stargate,subgraphs/stargate/protocols/stargate/config/templates/stargate.template.yaml,87,"templates:"
suzaku,subgraphs/suzaku/protocols/suzaku/config/templates/suzaku.template.yaml,81,"templates:"
symbiotic,subgraphs/symbiotic/protocols/symbiotic/config/templates/symbiotic.template.yaml,88,"templates:"
tenderize-v2,subgraphs/tenderize-v2/protocols/tenderize-v2/config/templates/tenderize-v2.template.yaml,83,"templates:"
tokemak,subgraphs/tokemak/protocols/tokemak/config/templates/tokemak.template.yaml,108,"templates:"
truefi,subgraphs/truefi/protocols/truefi/config/templates/truefi.template.yaml,211,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/apeswap/config/templates/apeswap.bsc.template.yaml,61,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/apeswap/config/templates/apeswap.matic.template.yaml,67,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/baseswap/config/templates/baseswap.template.yaml,41,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/biswap/config/templates/biswap.template.yaml,41,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/camelot-v2/config/templates/camelot.v2.template.yaml,70,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/honeyswap/config/templates/honeyswap.matic.template.yaml,40,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/honeyswap/config/templates/honeyswap.template.yaml,40,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/mm-finance/config/templates/mm.finance.template.yaml,66,"templates:"
